Y,X,PC_4,Year,Gemeente code,Provincie code,Provincie name,Gemeente name
51.8772336465,5.29763332799,4191,2020,1960,25,Gelderland,West Betuwe
51.8158739949,4.94140423254,4254,2020,1959,30,Noord-Brabant,Altena
51.6641538521,3.9365199,4303,2020,1676,29,Zeeland,Schouwen-Duiveland
51.6758675226,4.04029655565,4308,2020,1676,29,Zeeland,Schouwen-Duiveland
51.5701147894,3.55276884822,4356,2020,717,29,Zeeland,Veere
51.5190156683,3.9484627329,4474,2020,664,29,Zeeland,Goes
51.5616904096,3.70742522814,4493,2020,1695,29,Zeeland,Noord-Beveland
51.3253328559,3.47853186208,4501,2020,1714,29,Zeeland,Sluis
51.2974763525,3.87261553084,4539,2020,715,29,Zeeland,Terneuzen
51.3295318157,3.92047205271,4543,2020,715,29,Zeeland,Terneuzen
51.2752849173,3.92416897212,4571,2020,715,29,Zeeland,Terneuzen
51.6111081263,4.2532980145,4655,2020,851,30,Noord-Brabant,Steenbergen
51.5338303538,4.19353274207,4691,2020,716,29,Zeeland,Tholen
51.5858763244,4.01957114446,4696,2020,716,29,Zeeland,Tholen
51.528768106,4.39386992249,4724,2020,1674,30,Noord-Brabant,Roosendaal
51.5619171584,4.54690506596,4744,2020,1655,30,Noord-Brabant,Halderberge
51.6158887861,4.87364435516,4903,2020,826,30,Noord-Brabant,Oosterhout
51.6987441739,4.87871300587,4941,2020,779,30,Noord-Brabant,Geertruidenberg
51.5506857052,5.0044175298,5032,2020,855,30,Noord-Brabant,Tilburg
51.5292869052,5.05054583176,5052,2020,785,30,Noord-Brabant,Goirle
51.5860978458,5.16939493644,5063,2020,824,30,Noord-Brabant,Oisterwijk
51.5018364201,5.2115641531,5089,2020,798,30,Noord-Brabant,Hilvarenbeek
51.4544347336,4.86006848629,5113,2020,744,30,Noord-Brabant,Baarle-Nassau
51.6821451046,5.09148382397,5143,2020,867,30,Noord-Brabant,Waalwijk
51.8070497657,5.17254972544,5313,2020,297,25,Gelderland,Zaltbommel
51.8132677397,5.30265382196,5327,2020,263,25,Gelderland,Maasdriel
51.7743453988,5.33110108738,5331,2020,263,25,Gelderland,Maasdriel
51.6550906234,5.76488485902,5455,2020,815,30,Noord-Brabant,Mill en Sint Hubert
51.3780967338,5.36215132253,5524,2020,770,30,Noord-Brabant,Eersel
